protein_id	go_id
A0A087WZ39	GO:0005886
A0A087WZ39	GO:0023052
A0A096LP49	GO:0005815
A0A096LP49	GO:0005856
A0A096LP49	GO:0007010
A0A096LP49	GO:0008092
A0A096LP49	GO:0043226
A0A126GWI2	GO:0005886
A0A126GWI2	GO:0023052
A0A126GWI2	GO:0050877
A0A126GWI2	GO:0060089
A0A1B0GTK4	GO:0005576
A0A1B0GVD1	GO:0005576
A0A3B3IT45	GO:0005886
A0A3B3IT45	GO:0023052
A0A3B3IT45	GO:0050877
A0A3B3IT45	GO:0060089
A0A3B3IU46	GO:0003723
A0A3B3IU46	GO:0005634
A0A3B3IU46	GO:0016071
A0A3B3IU46	GO:0043226
A0A3B3IU46	GO:0065003
A0AUZ9	GO:0005694
A0AUZ9	GO:0043226
A0AV02	GO:0005215
A0AV02	GO:0055065
A0AV02	GO:0055085
A0AV96	GO:0002376
A0AV96	GO:0003723
A0AV96	GO:0005634
A0AV96	GO:0016071
A0AV96	GO:0023052
A0AV96	GO:0030154
A0AV96	GO:0043226
A0AV96	GO:0048856
A0AV96	GO:0060090
A0AV96	GO:0098542
A0AVF1	GO:0005815
A0AVF1	GO:0005856
A0AVF1	GO:0005929
A0AVF1	GO:0007010
A0AVF1	GO:0007018
A0AVF1	GO:0022414
A0AVF1	GO:0023052
A0AVF1	GO:0030154
A0AVF1	GO:0043226
A0AVF1	GO:0044782
A0AVF1	GO:0048856
A0AVI4	GO:0003824
A0AVI4	GO:0005783
A0AVI4	GO:0006886
A0AVI4	GO:0016740
A0AVI4	GO:0030163
A0AVI4	GO:0036211
A0AVI4	GO:0043226
A0AVI4	GO:0140096
A0AVK6	GO:0000278
A0AVK6	GO:0000910
A0AVK6	GO:0003677
A0AVK6	GO:0005634
A0AVK6	GO:0005654
A0AVK6	GO:0005694
A0AVK6	GO:0005730
A0AVK6	GO:0005829
A0AVK6	GO:0006260
A0AVK6	GO:0006351
A0AVK6	GO:0006355
A0AVK6	GO:0022414
A0AVK6	GO:0030154
A0AVK6	GO:0043226
A0AVK6	GO:0048856
A0AVK6	GO:0140110
A0AVT1	GO:0003824
A0AVT1	GO:0005829
A0AVT1	GO:0016740
A0AVT1	GO:0016874
A0AVT1	GO:0030154
A0AVT1	GO:0030163
A0AVT1	GO:0036211
A0AVT1	GO:0048856
A0AVT1	GO:0050877
A0AVT1	GO:0140096
A0AVT1	GO:0140657
A0FGR8	GO:0005783
A0FGR8	GO:0005829
A0FGR8	GO:0005886
A0FGR8	GO:0008289
A0FGR8	GO:0016192
A0FGR8	GO:0043226
A0FGR9	GO:0005783
A0FGR9	GO:0005886
A0FGR9	GO:0008289
A0FGR9	GO:0043226
A0JD36	GO:0002376
A0JD36	GO:0005886
A0JD36	GO:0098542
A0JLT2	GO:0005634
A0JLT2	GO:0006351
A0JLT2	GO:0006355
A0JLT2	GO:0043226
A0JLT2	GO:0065003
A0JLT2	GO:0140110
A0JNW5	GO:0005215
A0JNW5	GO:0005768
A0JNW5	GO:0005829
A0JNW5	GO:0016192
