protein_id	human-baboon	human-cow	human-dog	human-mouse	human-opossum	baboon-cow	baboon-dog	baboon-mouse	baboon-opossum	cow-dog	cow-mouse	cow-opossum	dog-mouse	dog-opossum	mouse-opossum
A0A087WTH1	0.029031	0.154998	0.110481	0.196955	0.344118	0.144013	0.109375	0.232052	0.385447	0.138486	0.217262	0.389459	0.192162	0.368851	0.437878
A0A087WZ39	0.103670	0.377518	0.391924	0.578767	0.941801	0.453725	0.498146	0.613333	1.076725	0.406620	0.474470	0.844741	0.525629	0.926316	1.071503
A0A096LP49	0.160867	0.640212	0.633581	0.685461	2.314668	0.667860	0.642229	0.718148	2.226590	0.552318	0.822833	2.328829	0.775940	2.277628	2.473843
A0A0U1RRA0	0.016778	0.143482	0.109374	0.167911	0.544500	0.162434	0.128345	0.148527	0.536199	0.088828	0.183459	0.661912	0.089641	0.556196	0.551611
A0A126GWI2	0.061848	0.209570	0.176613	0.199606	0.276475	0.206727	0.171825	0.195499	0.269331	0.161940	0.212899	0.259762	0.185132	0.232008	0.252956
A0A1B0GTK4	0.039598	0.177728	0.151352	0.263424	0.319755	0.157104	0.125886	0.268867	0.284756	0.117983	0.290938	0.331953	0.254496	0.297160	0.394298
A0A1B0GTY4	0.114004	0.436039	0.412675	0.583914	1.240808	0.459901	0.417579	0.612579	1.231753	0.188038	0.469519	0.873129	0.438770	0.814329	1.083026
A0A1B0GTZ2	0.047960	0.237610	0.210636	0.354079	0.895362	0.235413	0.229560	0.367670	0.901725	0.230261	0.389598	0.830271	0.409150	0.833360	0.802707
A0A1B0GUA5	0.010092	0.083189	0.116437	0.072691	0.693523	0.093930	0.127503	0.073506	0.691650	0.085413	0.127734	0.752216	0.104340	0.773452	0.693054
A0A1B0GUX0	0.024131	0.148030	0.114865	0.218927	0.424602	0.138921	0.119328	0.213371	0.418491	0.099706	0.249227	0.450880	0.236512	0.460848	0.499718
A0A1B0GVD1	0.038740	0.236411	0.138457	0.270255	0.710512	0.258502	0.331032	0.273670	0.708921	0.239927	0.302485	0.667567	0.279472	0.757268	0.793029
A0A1B0GVS7	0.036532	0.141680	0.101325	0.198086	0.208038	0.130351	0.090934	0.186831	0.197308	0.096117	0.197557	0.206208	0.168277	0.169627	0.224874
A0A1B0GVZ9	0.030972	0.466101	0.276089	0.331197	0.820250	0.448134	0.282355	0.420141	0.901405	0.387984	0.432398	0.976802	0.321563	0.834620	0.928880
A0A1B0GW35	0.011848	0.017812	0.011821	0.104575	0.067146	0.017841	0.011840	0.103907	0.061013	0.005908	0.104281	0.068086	0.103887	0.061605	0.159723
A0A1B0GW64	0.123590	0.376732	0.329703	0.526827	1.092282	0.410766	0.314262	0.567851	1.080554	0.267984	0.573603	1.256062	0.522023	1.089177	1.049960
A0A1B0GWB2	0.073842	0.344458	0.304071	0.356588	0.624456	0.367437	0.316002	0.332768	0.649324	0.272604	0.445383	0.674612	0.367715	0.590566	0.715464
A0A3B3IT45	0.094522	0.169000	0.154888	0.183533	0.252019	0.150335	0.133477	0.161302	0.224647	0.096079	0.125456	0.194665	0.073436	0.155159	0.152325
A0A3B3IU46	0.000010	0.072556	0.063144	0.131646	0.162383	0.072556	0.063144	0.131646	0.162383	0.044709	0.150645	0.140910	0.140437	0.149958	0.237465
A0AUZ9	0.034086	0.143989	0.130450	0.206190	0.305890	0.150438	0.142696	0.226892	0.315195	0.115926	0.215480	0.300963	0.199511	0.292656	0.351594
A0AV02	0.041046	0.157844	0.136476	0.216448	0.339688	0.159814	0.138868	0.217824	0.349620	0.145311	0.260396	0.344245	0.251267	0.340366	0.412295
A0AV96	0.001680	0.018743	0.052281	0.053930	0.086028	0.020471	0.050471	0.052121	0.084161	0.043275	0.046798	0.078862	0.072299	0.097954	0.096220
A0AVF1	0.007397	0.039579	0.028102	0.037656	0.056842	0.041554	0.030041	0.039626	0.056919	0.013085	0.024363	0.041613	0.013085	0.032061	0.045439
A0AVI4	0.031528	0.102837	0.093252	0.115503	0.218615	0.103977	0.100456	0.107944	0.227171	0.108628	0.138797	0.239412	0.097397	0.218658	0.218952
A0AVK6	0.030422	0.160859	0.103871	0.168875	0.245169	0.157762	0.109313	0.170613	0.249985	0.149432	0.220005	0.301322	0.188687	0.272155	0.297023
A0AVT1	0.018100	0.081623	0.082461	0.114947	0.167488	0.082726	0.078501	0.112849	0.167021	0.076795	0.121494	0.166459	0.104686	0.157019	0.175519
A0FGR8	0.085044	0.104970	0.114245	0.091370	0.167909	0.099595	0.127457	0.080986	0.159478	0.092582	0.101145	0.158343	0.110771	0.161378	0.159246
A0FGR9	0.029689	0.141614	0.137086	0.181530	0.297506	0.139858	0.132245	0.178502	0.296882	0.169828	0.199063	0.324317	0.211534	0.358868	0.352207
A0JD36	0.131543	1.152892	1.065881	1.454568	0.880128	1.495591	1.216009	1.351828	1.004775	0.629320	0.590206	1.345730	0.623497	1.125407	1.226598
A0JLT2	0.008494	0.052060	0.051998	0.060989	0.103504	0.043313	0.056450	0.052197	0.149726	0.047887	0.056266	0.083564	0.056290	0.134017	0.103499
A0JNW5	0.013156	0.095412	0.087870	0.149415	0.244580	0.095233	0.085564	0.150515	0.244726	0.097415	0.175509	0.242252	0.182054	0.246625	0.311385
A0MZ66	0.016993	0.100136	0.090667	0.091085	0.127104	0.105162	0.101818	0.097804	0.132459	0.112946	0.141113	0.161196	0.119800	0.146593	0.173853
A0PG75	0.030515	0.097551	0.059619	0.123584	0.141726	0.102216	0.067828	0.135817	0.158883	0.092787	0.183556	0.179709	0.153774	0.164311	0.207405
A0PJK1	0.022151	0.129023	0.080829	0.123309	0.214438	0.123670	0.075639	0.123345	0.218445	0.118028	0.167474	0.255579	0.131348	0.222315	0.236023
A0PJW6	0.081346	0.250756	0.264372	0.324443	0.541626	0.282442	0.271097	0.326560	0.558344	0.153384	0.346395	0.467444	0.338240	0.458528	0.496202
A0PJW8	0.449012	0.150826	0.218153	0.205671	0.443152	0.570972	0.665498	0.672166	0.922877	0.145798	0.238077	0.370001	0.287544	0.353289	0.458266
A0PJX0	0.005501	0.384741	0.073183	0.087409	0.233940	0.375803	0.067268	0.081251	0.226655	0.390994	0.448667	0.568094	0.113990	0.242665	0.251618
A0PJX2	0.039300	0.179950	0.192136	0.150949	0.410812	0.202202	0.208371	0.149839	0.408608	0.178028	0.169175	0.468747	0.134814	0.469555	0.459875
A0PJX4	0.013027	0.044303	0.134726	0.075691	0.081418	0.039828	0.139668	0.062009	0.076807	0.121298	0.053419	0.058784	0.149446	0.156327	0.090868
A0PJX8	0.044360	0.235038	0.232784	0.236723	0.382872	0.232301	0.239234	0.244719	0.382712	0.277682	0.363027	0.447955	0.341422	0.470102	0.431486
A0PJZ3	0.016599	0.157435	0.045688	0.123838	0.281697	0.153725	0.048139	0.132164	0.283060	0.154684	0.212614	0.287687	0.115850	0.286763	0.323477
A0PK05	0.026302	0.134050	0.138419	0.172293	0.286595	0.133871	0.142529	0.181434	0.281732	0.143679	0.191087	0.326974	0.202668	0.327397	0.357957
A0PK11	0.031248	0.068141	0.040577	0.059487	0.169393	0.082493	0.054575	0.073857	0.170645	0.058854	0.077738	0.196645	0.054897	0.172303	0.170938
A0ZSE6	0.138217	0.594415	0.518034	0.536076	0.625079	0.410355	0.310503	0.391960	0.479601	0.290962	0.456008	0.484019	0.361032	0.402696	0.550826
A1A4G5	0.022746	0.292985	0.261033	0.478225	0.657447	0.308184	0.275694	0.513917	0.670673	0.273426	0.543531	0.633570	0.532406	0.650736	0.804559
A1A4S6	0.016599	0.070916	0.065270	0.089673	0.134107	0.073795	0.065291	0.089813	0.134009	0.063863	0.106725	0.129331	0.099885	0.135266	0.169391
A1A4V9	0.057017	0.274379	0.263155	0.348662	0.694106	0.262866	0.256074	0.346309	0.706823	0.171270	0.342859	0.662357	0.302831	0.666829	0.673680
A1A5C7	0.009133	0.170260	0.091813	0.080510	0.156429	0.167958	0.095087	0.075727	0.150835	0.164006	0.176194	0.191298	0.117422	0.176495	0.165996
A1A5D9	0.048994	0.155107	0.134488	0.170203	0.308435	0.152876	0.137708	0.161424	0.299734	0.183316	0.212680	0.368486	0.191096	0.338402	0.349981
A1E959	0.091355	0.345259	0.286282	0.393051	0.982144	0.358571	0.272261	0.403693	1.027080	0.282316	0.484696	0.971259	0.425785	1.015919	1.138300
A1IGU5	0.044652	0.152815	0.169935	0.237759	0.452280	0.161358	0.177658	0.245677	0.458560	0.131880	0.255103	0.434124	0.258282	0.446920	0.506504
A1KXE4	0.017078	0.015433	0.000010	0.010336	0.020677	0.034394	0.017078	0.028811	0.040335	0.015433	0.026011	0.036423	0.010336	0.020677	0.031365
A1L020	0.070780	0.009818	0.025699	0.027851	0.044021	0.072899	0.087871	0.090692	0.094279	0.019731	0.031835	0.039976	0.039752	0.048033	0.062762
A1L0T0	0.016153	0.110348	0.083538	0.148267	0.255276	0.112191	0.081949	0.148271	0.254099	0.096450	0.152259	0.269361	0.138057	0.262673	0.287758
A1L157	0.042196	0.141536	0.120067	0.142731	0.195248	0.122335	0.106023	0.127667	0.166297	0.107180	0.166297	0.217017	0.160769	0.208687	0.221552
A1L162	0.102112	0.297370	0.302226	0.458301	0.961437	0.315492	0.346543	0.449755	1.249776	0.160261	0.365880	0.900901	0.481595	1.007405	1.559204
A1L167	0.006344	0.006293	0.000010	0.012590	0.012592	0.012728	0.006344	0.019098	0.019101	0.006293	0.018946	0.018949	0.012590	0.355053	0.025275
A1L188	0.056386	0.136594	0.140529	0.145766	0.442669	0.136660	0.158210	0.146117	0.439387	0.156272	0.199102	0.444380	0.218322	0.506151	0.487957
A1L190	0.022754	0.135230	0.106067	0.107726	0.567676	0.121275	0.093062	0.094499	0.554826	0.094481	0.082418	0.553835	0.045755	0.469770	0.514241
A1L1A6	0.135364	1.027789	0.800897	0.731909	1.553872	1.048792	0.859785	0.769687	1.587219	0.653936	0.828730	1.439273	0.898089	1.195931	1.382008
A1L390	0.037795	0.264850	0.166774	0.212966	0.368897	0.257643	0.173390	0.212047	0.370267	0.248932	0.334368	0.456008	0.247017	0.373561	0.431944
A1L3X0	0.038230	0.098146	0.085718	0.128534	0.171581	0.102559	0.090127	0.141369	0.180491	0.077416	0.107399	0.165329	0.094520	0.179909	0.181988
A1L453	0.085795	0.537597	0.464008	0.625795	1.240829	0.520605	0.437388	0.591175	1.232741	0.430872	0.681737	1.292758	0.672516	1.150552	1.237874
A1L4K1	0.040578	0.158390	0.228345	0.186739	0.369487	0.170036	0.243532	0.192988	0.381478	0.226067	0.197666	0.379775	0.263977	0.417698	0.397839
A1X283	0.019271	0.127025	0.105501	0.126104	0.233286	0.120962	0.101607	0.124836	0.231050	0.094366	0.144982	0.232411	0.138047	0.220466	0.247236
A1XBS5	0.013310	0.101689	0.119551	0.129816	0.131875	0.094501	0.112112	0.129781	0.135604	0.048824	0.107040	0.099075	0.113077	0.117892	0.128402
A1YPR0	0.001676	0.022147	0.042678	0.061833	0.102626	0.023857	0.044324	0.063567	0.104420	0.044740	0.069318	0.135379	0.078105	0.109740	0.132185
