cellular_component,biological_process,molecular_functions,mean
None,None,None,0.23003786666666665
['plasma membrane'],['signaling'],None,0.6189925333333334
"['microtubule organizing center', 'cytoskeleton', 'organelle']",['cytoskeleton organization'],['cytoskeletal protein binding'],1.1947338
None,None,None,0.2726131333333333
['plasma membrane'],"['signaling', 'nervous system process']",['molecular transducer activity'],0.20481273333333333
['extracellular region'],None,None,0.2316865333333333
None,None,None,0.6250708666666667
None,None,None,0.4650241333333333
None,None,None,0.29991533333333337
None,None,None,0.2545038
['extracellular region'],None,None,0.4004165333333333
None,None,None,0.15691633333333332
None,None,None,0.5239260666666667
None,None,None,0.06075286666666666
None,None,None,0.6387584000000001
None,None,None,0.42901933333333336
['plasma membrane'],"['signaling', 'nervous system process']",['molecular transducer activity'],0.15472286666666665
"['nucleus', 'organelle']","['mRNA metabolic process', 'protein-containing complex assembly']",['RNA binding'],0.11490613333333335
"['chromosome', 'organelle']",None,None,0.20879706666666667
None,['transmembrane transport'],['transporter activity'],0.2341005333333333
"['nucleus', 'organelle']","['immune system process', 'mRNA metabolic process', 'signaling', 'cell differentiation', 'anatomical structure development', 'defense response to other organism']","['RNA binding', 'molecular adaptor activity']",0.05701959999999999
"['microtubule organizing center', 'cytoskeleton', 'cilium', 'organelle']","['cytoskeleton organization', 'microtubule-based movement', 'reproductive process', 'signaling', 'cell differentiation', 'cilium organization', 'anatomical structure development']",None,0.03382413333333334
"['endoplasmic reticulum', 'organelle']","['intracellular protein transport', 'protein catabolic process', 'protein modification process']","['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.1415418
"['nucleus', 'nucleoplasm', 'chromosome', 'nucleolus', 'cytosol', 'organelle']","['mitotic cell cycle', 'cytokinesis', 'DNA replication', 'DNA-templated transcription', 'regulation of DNA-templated transcription', 'reproductive process', 'cell differentiation', 'anatomical structure development']","['DNA binding', 'transcription regulator activity']",0.18836619999999998
['cytosol'],"['cell differentiation', 'protein catabolic process', 'protein modification process', 'anatomical structure development', 'nervous system process']","['catalytic activity', 'transferase activity', 'ligase activity', 'catalytic activity, acting on a protein', 'ATP-dependent activity']",0.11384586666666666
"['endoplasmic reticulum', 'cytosol', 'plasma membrane', 'organelle']",['vesicle-mediated transport'],['lipid binding'],0.12096793333333333
"['endoplasmic reticulum', 'plasma membrane', 'organelle']",None,['lipid binding'],0.2100486
['plasma membrane'],"['immune system process', 'defense response to other organism']",None,1.0195982000000001
"['nucleus', 'organelle']","['DNA-templated transcription', 'regulation of DNA-templated transcription', 'protein-containing complex assembly']",['transcription regulator activity'],0.0706836
"['endosome', 'cytosol', 'cytoplasmic vesicle', 'organelle']","['vesicle-mediated transport', 'membrane organization']",['transporter activity'],0.1614474
"['cytoskeleton', 'organelle']","['cytoskeleton organization', 'establishment or maintenance of cell polarity', 'signaling', 'cell differentiation', 'anatomical structure development', 'cell motility']",['cytoskeletal protein binding'],0.11458193333333333
['plasma membrane'],['membrane organization'],['transporter activity'],0.12661873333333337
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']",['transmembrane transport'],['transporter activity'],0.14944106666666668
"['mitochondrion', 'organelle']","['mitochondrion organization', 'anatomical structure development', 'protein-containing complex assembly']",None,0.3440786000000001
None,"['immune system process', 'autophagy', 'cell adhesion', 'programmed cell death', 'signaling', 'cell differentiation', 'nervous system process']","['translation regulator activity', 'molecular transducer activity']",0.4100868
None,None,None,0.23678526666666666
"['nucleus', 'organelle']",None,None,0.2548240666666667
"['endoplasmic reticulum', 'organelle']",['signaling'],None,0.08650793333333334
None,None,None,0.3041611333333333
None,"['protein glycosylation', 'protein modification process', 'carbohydrate derivative metabolic process']","['catalytic activity', 'transferase activity']",0.17489466666666667
None,None,None,0.20313246666666668
"['plasma membrane', 'organelle']","['cell differentiation', 'anatomical structure development', 'nervous system process']",None,0.09878606666666667
None,None,None,0.4366522
None,None,None,0.4612754666666667
"['endosome', 'cytosol', 'plasma membrane', 'cytoplasmic vesicle', 'organelle']","['cytoskeleton organization', 'programmed cell death', 'signaling']",['molecular function regulator activity'],0.09626226666666667
"['cilium', 'cytoplasmic vesicle', 'organelle']",None,None,0.4019478
['plasma membrane'],['transmembrane transport'],['transporter activity'],0.1326108666666667
None,['microtubule-based movement'],None,0.21419533333333335
"['extracellular region', 'extracellular space', 'nucleus', 'nucleoplasm', 'cytosol', 'cytoskeleton', 'organelle']","['inflammatory response', 'cytoskeleton organization', 'protein modification process', 'wound healing', 'anatomical structure development']",None,0.5651980666666667
None,None,['molecular function regulator activity'],0.2755671333333334
"['extracellular region', 'extracellular space', 'plasma membrane', 'organelle']",None,None,0.021626466666666667
"['nucleus', 'cytosol', 'organelle']",None,['RNA binding'],0.051066600000000004
"['endoplasmic reticulum', 'organelle']","['amino acid metabolic process', 'lipid metabolic process']","['catalytic activity', 'transferase activity', 'lyase activity']",0.16111
None,None,None,0.1497068
None,None,None,0.5972172
"['nucleus', 'nucleoplasm', 'plasma membrane', 'organelle']",['protein modification process'],"['catalytic activity', 'transferase activity', 'catalytic activity, acting on a protein']",0.0354804
"['mitochondrion', 'organelle']","['mitochondrion organization', 'protein-containing complex assembly']",None,0.25430013333333334
