A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A087WZ39_human A0A140T8P8_mouse A0A3Q1MQW6_cow A0A5F8H7W7_opossum A0A8I3NY19_dog A0A8I5NGK7_baboon
A0A096LP49_human A0A096NRT4_baboon A0A5F8GDC7_opossum A0A8I3N330_dog F1MDL7_cow Q8C5V8_mouse
A0A0U1RNU5_mouse A0A0U1RRA0_human A0A2I3LZ49_baboon A0A3Q1NLR2_cow A0A5F8HIM4_opossum A0A8I3NEV8_dog
A0A126GWI2_human A0A3Q1LMI7_cow A0A5F8G6S8_opossum A0A8I3NEA8_dog A0A8I5N2L9_baboon Q8VGP6_mouse
A0A1B0GTK4_human A0A1Z4VJI9_mouse A0A2I3LGK6_baboon A0A3Q1MKJ2_cow A0A8I3PL09_dog K7E5G2_opossum
A0A1B0GTY4_human A0A2I3LDF2_baboon A0A8I3NWP0_dog G3N0F7_cow K7E1L9_opossum Q9D5B7_mouse
A0A096MTF1_baboon A0A1B0GS05_mouse A0A1B0GTZ2_human A0A452DJ89_cow A0A8I3MR40_dog F7FSR0_opossum
A0A1B0GSF6_mouse A0A1B0GUA5_human A0A2I3MZ60_baboon A0A3Q1M0N1_cow A0A5F8GL86_opossum A0A8I3NNZ4_dog
A0A1B0GUX0_human A0A2I3M9D4_baboon A0A8I3PAS1_dog B9EJX3_mouse G3X8G1_cow K7DYS6_opossum
A0A096NZU8_baboon A0A1B0GVD1_human A0A3Q1MER2_cow A0A8I3N8C8_dog F7DM50_opossum Q3UQ24_mouse
A0A1B0GVS7_human A0A3Q1M0S1_cow A0A5F8HF49_opossum A0A8I3N1M5_dog A0A8I5R7A3_baboon B2RVL9_mouse
A0A096NH19_baboon A0A1B0GVZ9_human A0A8I3P0H0_dog F6QA12_cow F6U2C4_opossum Q9D4Y8_mouse
A0A1B0GW35_human A0A8I3NHH4_dog A0A8I5N6U3_baboon B9EK06_mouse G3N050_cow K7E3A2_opossum
