UNIPROT_ID	LENGTH	MOL-WEIGHT	Tm_(C)
A0AVT1	1052	117,970	58.86
A0MZ66	631	71,640	58.49
A2A274	805	87,820	49.87
A3KFL4	293	32,789	58.76
A6NEM2	2080	213,476	60.82
A6NHN7	1280	141,789	61.61
A6NKZ9	85	9,447	47.29
A6QRI9	181	20,221	58.86
B0QY89	607	70,902	65.59
B1AJR8	1450	162,693	48.07
B1AJY7	193	20,808	64.42
B1AK13	300	31,735	61.94
B1AK87	260	29,295	60.69
B3KNJ4	299	33,384	59.54
B3KTM8	348	40,029	60.6
B3KVN2	228	27,443	60.61
B3KYB6	120	13,782	59.4
B4DEM7	548	59,621	44.78
B4DGP8	592	67,568	45.36
B4DJ81	611	66,922	51.08
B4DJP7	126	13,916	68.14
B4DLR8	202	22,793	44.61
B4DP21	160	18,697	47.63
B4DQJ8	483	53,140	51.51
B4DS69	373	41,738	58.9
B4DTC3	303	33,612	59.54
B4DTG2	437	50,119	52.51
B4DTG6	463	50,530	61.2
B4DUR8	500	55,674	60.33
B4DUX0	265	29,645	67.9
B4DWW4	808	90,981	49.9
B4DX68	322	36,085	60.63
B4DYD8	541	59,671	42.74
B4DZW6	314	35,808	60.22
B4E1K7	356	38,534	61.81
B4E241	164	19,330	51.67
B5MBW9	149	14,932	40.34
B5MCT8	139	16,628	60.78
B5MDF5	233	26,224	58.34
B7Z1R5	617	68,304	63.44
B7Z4K6	360	39,581	59.16
B7Z5J4	317	35,634	61.56
B7Z7F3	494	52,895	61.09
B7Z7Q7	475	54,057	66.57
B7Z8V7	301	34,176	59.53
B7Z9G5	411	46,476	47.23
B7ZA04	638	71,457	58.08
B8ZZN6	146	16,645	54.98
B9A018	536	62,044	49.21
B9ZVT1	881	102,705	62.12
C9IZN5	93	10,694	64.9
C9J0K6	155	17,605	49.49
C9J5W6	115	12,886	52.63
C9J9K3	263	29,405	60.07
C9JCS7	125	14,442	64.6
C9JFL8	232	25,680	63.07
C9JFR7	101	11,333	61.22
C9JG86	1340	149,254	56.1
C9JH92	206	21,932	61.27
C9JIF9	737	81,674	62.79
C9JQ41	130	15,297	58.24
C9JQD4	144	15,800	60.69
C9JQQ2	231	24,846	58.94
C9JW69	372	39,584	63.78
C9JZR2	938	104,849	54.09
D6R9C8	139	15,626	61.01
D6R9P3	280	30,303	58.72
D6RAR5	112	13,426	59.81
D6RAX2	186	20,275	62.56
D6RCP9	199	22,891	58.86
D6RDJ1	79	8,997	60.27
D6RER5	432	49,809	60.06
D6RF21	92	10,251	59.71
E5RFZ8	89	9,632	48.07
E5RGR0	197	20,861	59.98
E5RHG8	89	9,960	46.79
E5RIA0	94	10,545	44.29
E5RJ68	1094	121,320	60.49
E7EM64	326	36,064	50.52
E7EPN9	2819	308,777	60.12
E7ETU9	703	81,170	42.59
E7ETZ0	113	12,876	59.57
E7EV45	130	15,344	59.6
E7EVH3	1072	120,647	58.06
E7EX17	616	69,698	48.8
E7EX44	557	64,169	59.55
E9PAL9	520	60,719	59.92
